t2,y2,t2,y2;
215274.9339999999,-13.078125,215394.91099999996,7.86644071554997;
215274.9964999999,-19.078125,215394.97349999996,22.86644071554997;
215275.0589999999,-28.078125,215395.03599999996,1.8664407155499703;
215275.1214999999,4.921875,215395.09849999996,6.86644071554997;
215275.1839999999,-21.078125,215395.16099999996,9.86644071554997;
215275.2464999999,1.921875,215395.22349999996,15.86644071554997;
215275.3089999999,15.921875,215395.28599999996,10.86644071554997;
215275.3714999999,11.921875,215395.34849999996,17.86644071554997;
215275.4339999999,6.921875,215395.41099999996,15.86644071554997;
215275.4964999999,18.921875,215395.47349999996,24.86644071554997;
215275.5589999999,12.921875,215395.53599999996,23.86644071554997;
215275.6214999999,-3.078125,215395.59849999996,26.86644071554997;
215275.6839999999,4.921875,215395.66099999996,35.86644071554997;
215275.7464999999,-18.078125,215395.72349999996,8.86644071554997;
215275.8089999999,12.921875,215395.78599999996,31.86644071554997;
215275.8714999999,-1.078125,215395.84849999996,17.86644071554997;
215275.9339999999,-14.078125,215395.91099999996,6.86644071554997;
215275.9964999999,2.921875,215395.97349999996,-5.13355928445003;
215276.0589999999,-21.078125,215396.03599999996,7.86644071554997;
215276.1214999999,11.921875,215396.09849999996,0.8664407155499703;
215276.1839999999,15.921875,215396.16099999996,-20.13355928445003;
215276.2464999999,4.921875,215396.22349999996,-4.13355928445003;
215276.3089999999,16.921875,215396.28599999996,-8.13355928445003;
215276.3714999999,41.921875,215396.34849999996,-5.13355928445003;
215276.4339999999,24.921875,215396.41099999996,-23.13355928445003;
215276.4964999999,4.921875,215396.47349999996,4.86644071554997;
215276.5589999999,4.921875,215396.53599999996,3.8664407155499703;
215276.6214999999,48.921875,215396.59849999996,-8.13355928445003;
215276.6839999999,49.921875,215396.66099999996,-6.13355928445003;
215276.7464999999,7.921875,215396.72349999996,3.8664407155499703;
215276.8089999999,17.921875,215396.78599999996,1.8664407155499703;
215276.8714999999,4.921875,215396.84849999996,-4.13355928445003;
215276.9339999999,2.921875,215396.91099999996,10.86644071554997;
215276.9964999999,10.921875,215396.97349999996,-5.13355928445003;
215277.0589999999,0.921875,215397.03599999996,-1.1335592844500297;
215277.1214999999,21.921875,215397.09849999996,13.86644071554997;
215277.1839999999,21.921875,215397.16099999996,20.86644071554997;
215277.2464999999,7.921875,215397.22349999996,11.86644071554997;
